,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5
60,1.639214775235219,0.2655,0.531,0.8865,1.6432761242667826
61,0.10407712858636312,0.357,0.714,1.143,1.2192048663914838
62,0.15611569287954466,0.729,1.458,0.009,4.505757114925049
63,1.7432919038215824,0.543,1.086,0.018,6.149033239191832
64,1.1188291323034034,0.1725,0.345,1.3455,2.8624809906582662
65,0.5464049250784063,0.126,0.252,1.683,2.0408429285248753
66,0.9497037983505635,0.4965,0.993,0.432,5.32739517705844
67,0.02601928214659078,0.6825,1.365,0.1935,3.6841190527916576
68,3.616680218376118,0.3105,0.621,0.0675,0.39756680425809254
69,4.384249041700547,0.219,0.438,0.0765,0.31805344340647407
70,1.105819491230108,0.5895,1.179,0.099,3.578101238322833
71,0.02601928214659078,0.4035,0.807,1.0305,5.221377362589616
72,3.265419909397143,0.033,0.066,1.0215,1.9613295676732567
73,3.538622371936346,0.045,0.09,0.891,2.7564631761894414
74,0.27320246253920316,0.4155,0.831,0.909,6.043015424723007
75,0.7415495411778372,0.6015,1.203,0.189,4.399739300456225
76,1.9384365199210132,0.2295,0.459,0.891,1.1396915055398653
77,1.8863979556278314,0.3225,0.645,0.63,1.537258309797958
78,0.1431060518062493,0.6945,1.389,0.117,4.823810558331523
79,0.6634916947380649,0.5085,1.017,0.495,6.467086682598306
80,1.300964107329539,0.1365,0.273,1.3905,3.1805344340647403
81,1.3269833894761298,0.183,0.366,1.242,2.3588963719313494
82,0.4032988732721571,0.555,1.11,0.4455,5.645448620464915
83,0.039028923219886165,0.741,1.482,0.0135,4.002172496198131
84,2.3417353931931704,0.369,0.738,0.333,0.7156202476645666
85,3.5906609362295274,0.276,0.552,0.18,0.5035846187269173
86,0.767568823324428,0.648,1.296,0.0405,3.790136867260482
87,1.7432919038215824,0.462,0.924,0.261,5.433412991527265
88,2.3287257521198748,0.09,0.18,1.1745,2.1468607429936997
89,4.8395864792658845,0.0675,0.135,0.3735,2.968498805127091
90,1.1708676965965852,0.4395,0.879,0.5265,6.255051053660656
91,0.1431060518062493,0.624,1.248,0.3285,4.6117749293938735
92,2.966198164711349,0.2535,0.507,0.4635,1.3252226808603087
93,1.9904750842141945,0.3465,0.693,0.522,0.9276558766022159
94,0.02601928214659078,0.717,1.434,0.09,4.214208125135781
95,0.468347078638634,0.531,1.062,0.495,5.830979795785357
96,0.05203856429318156,0.1605,0.321,1.7505,2.570932000868998
97,0.5724242072249972,0.114,0.228,1.71,1.7492939387356072
98,0.9757230804971543,0.4845,0.969,0.459,5.035846187269172
99,0.20815425717272623,0.6705,1.341,0.1665,3.3925700630023896
100,1.366012312696016,0.3,0.6,0.8775,0.10601781446882468
101,3.7858055523289584,0.207,0.414,0.3195,0.07951336085161852
102,0.1170867696596585,0.5775,1.155,0.477,3.3660656093851835
103,0.09106748751306773,0.393,0.786,1.0395,5.009341733651966
104,5.555116738297132,0.021,0.042,0.2655,1.722789485118401
105,4.722499709606226,0.015,0.03,0.5715,2.5444275472517925
106,1.0928098501568126,0.387,0.774,0.711,5.804475342168152
107,1.0798002090835173,0.5715,1.143,0.162,4.187703671518575
108,0.22116389824602162,0.201,0.402,1.5705,0.9011514229850098
109,0.6244627715181786,0.294,0.588,1.152,1.2987182272431024
110,0.2862121036124986,0.6645,1.329,0.1575,4.585270475776668
111,2.068532930653967,0.48,0.96,0.0945,6.22854660004345
112,3.1613427808107795,0.108,0.216,0.8325,2.941994351509885
